iter	Passed	Remaining
0	1	116
1	2	115
2	3	129
3	5	122
4	6	120
5	7	115
6	8	112
7	9	110
8	11	111
9	12	108
10	13	105
11	14	104
12	15	102
13	16	101
14	17	100
15	19	102
16	20	100
17	21	99
18	22	97
19	23	94
20	24	92
21	25	91
22	26	89
23	27	87
24	28	86
25	29	84
26	30	83
27	31	81
28	33	81
29	34	80
30	35	79
31	37	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	62
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
